pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.2,0.30000000000000004,0.9,74132.19773119708,73677.91243342192,0.6128043032292078
0.2,0.30000000000000004,1.0,73487.83645495985,74081.15791838216,-0.8073736988922701
0.2,0.4,0.0,64318.427034405766,64336.35836528429,-0.027878994722516582
0.2,0.4,0.1,66751.1107763638,66163.35968233412,0.8805113311130057
0.2,0.4,0.2,68121.05190738285,67841.20361468736,0.41081029264781493
0.2,0.4,0.30000000000000004,69072.91781876789,69369.890162344,-0.42994034848115376
0.2,0.4,0.4,70710.56885885238,70749.41932530407,-0.05494294145652485
0.2,0.4,0.5,72073.59863475109,71979.79110356754,0.13015519269260695
0.2,0.4,0.6000000000000001,72931.86072808567,73061.0054971344,-0.17707592780367296
0.2,0.4,0.7000000000000001,74184.29983166553,73993.0625060047,0.25778679059419607
0.2,0.4,0.8,74464.78596901434,74775.96213017844,-0.41788364408054796
0.2,0.4,0.9,76006.36748196196,75409.70436965555,0.7850172716753188
0.2,0.4,1.0,75482.1173626788,75894.2892244361,-0.5460523315434966
0.2,0.5,0.0,64949.17631842171,65091.80414261921,-0.2195991270131632
0.2,0.5,0.1,67575.26256928674,67084.01649910194,0.7269613931297939
0.2,0.5,0.2,68525.59483591911,68894.24173257532,-0.5379696411813938
0.2,0.5,0.30000000000000004,70007.51554742221,70522.4798430393,-0.7355843034713268
0.2,0.5,0.4,71955.55808984423,71968.73083049392,-0.01830677295733889
0.2,0.5,0.5,72753.5774992923,73232.99469493916,-0.6589603042565529
0.2,0.5,0.6000000000000001,73133.45434343437,74315.27143637501,-1.61597329642169
0.2,0.5,0.7000000000000001,75099.24354369368,75215.56105480148,-0.15488506357607545
0.2,0.5,0.8,75910.17487323158,75933.86355021858,-0.031206194724966742
0.2,0.5,0.9,75806.1895503026,76470.1789226263,-0.8759039021254343
0.2,0.5,1.0,76276.31101324975,76824.50717202465,-0.7186977863673427
0.2,0.6000000000000001,0.0,65933.36642675515,65452.71654278942,0.7289933913804916
0.2,0.6000000000000001,0.1,68086.97230489178,67724.05991764744,0.5330129611568457
0.2,0.6000000000000001,0.2,70294.12691422836,69744.41799183388,0.7820125898501075
0.2,0.6000000000000001,0.30000000000000004,71431.90667673154,71513.79076534868,-0.1146323714803087
0.2,0.6000000000000001,0.4,73371.55768542751,73032.1782381919,0.4625490557126529
0.2,0.6000000000000001,0.5,74900.91962308968,74299.58041036356,0.8028462344015641
0.2,0.6000000000000001,0.6000000000000001,74896.47023091963,75315.9972818636,-0.560142620407201
0.2,0.6000000000000001,0.7000000000000001,76499.50373316408,76081.42885269206,0.5465066569977979
0.2,0.6000000000000001,0.8,76890.76195691428,76595.87512284891,0.3835139964286105
0.2,0.6000000000000001,0.9,76048.12448256166,76859.33609233418,-1.0667082394103475
0.2,0.6000000000000001,1.0,77610.76157665295,76871.81176114784,0.9521228763813653
0.2,0.7000000000000001,0.0,65571.18727571552,65419.09556579495,0.23194899503809438
0.2,0.7000000000000001,0.1,68022.68332015487,68083.48993797059,-0.08939167766952838
0.2,0.7000000000000001,0.2,70144.00913494684,70391.73239246296,-0.35316381337647024
0.2,0.7000000000000001,0.30000000000000004,72013.86624060637,72343.82292927214,-0.458184938388599
0.2,0.7000000000000001,0.4,73871.45041153583,73939.76154839803,-0.09247298717115394
0.2,0.7000000000000001,0.5,74314.41616412235,75179.54824984074,-1.1641510898878045
0.2,0.7000000000000001,0.6000000000000001,75976.14828574391,76063.1830336002,-0.11455535693775344
0.2,0.7000000000000001,0.7000000000000001,76495.78619920138,76590.6658996764,-0.1240325842628096
0.2,0.7000000000000001,0.8,76408.92807826403,76761.9968480694,-0.46207789938333566
0.2,0.7000000000000001,0.9,76647.9642534296,76577.17587877916,0.0923551921305858
0.2,0.7000000000000001,1.0,75821.60459644214,76036.20299180568,-0.28303066982786323
0.2,0.8,0.0,64898.854098985496,64990.94121163581,-0.14189327982564662
0.2,0.8,0.1,68599.41128882235,68162.30656007139,0.6371843730708219
0.2,0.8,0.2,71199.29193014433,70836.18493446267,0.5099868072254415
0.2,0.8,0.30000000000000004,72937.02897984076,73012.57633480965,-0.1035788762245459
0.2,0.8,0.4,75378.23224466259,74691.48076111233,0.9110740104931206
0.2,0.8,0.5,76348.75782914134,75872.89821337072,0.6232709336745623
0.2,0.8,0.6000000000000001,76281.94159945937,76556.8286915848,-0.36035670613734827
0.2,0.8,0.7000000000000001,76726.75843444224,76743.27219575457,-0.021522818960802166
0.2,0.8,0.8,76802.27174861018,76432.22872588006,0.4818126004675215
0.2,0.8,0.9,75108.16688320084,75623.69828196126,-0.6863852762671054
0.2,0.8,1.0,74300.89256864463,74317.68086399816,-0.022595011679058512
